callSign	frequency	type	city	state	name	longitude	latitude
W232CV	94.3	FM	WAUSAU	WI	WESTERN WISCONSIN'S INSPIRATIONAL BROADCASTER, INC.	-89.65206	44.88803
W274BB	102.7	FM	HAINES CITY	FL	CENTRAL FLORIDA EDUCATIONAL FOUNDATION, INC.	-81.61083	28.06944
K235BX	94.9	FM	CALEXICO	CA	_	-115.4275	32.68006
WHPK	88.5	FM	CHICAGO	IL	UNIVERSITY OF CHICAGO	-87.60028	41.78458
W281BG	104.1	FM	KNIGHTSVILLE	IN	COVENANT NETWORK	-87.12425	39.56211
W267BN	101.3	FM	MARION	IN	TAYLOR UNIVERSITY BROADCASTING, INC.	-85.65469	40.52892
K254CD	98.7	FM	KERRVILLE	TX	RADIO RANCH, LLC	-99.19478	30.11797
W234CD	94.7	FM	HOLLYWOOD	TN	MIDDLE TENNESSEE STATE UNIVERSITY	-87.025	35.48783
W221BG	92.1	FM	TOLEDO	OH	EDUCATIONAL MEDIA FOUNDATION	-83.60492	41.64686
W300DG	107.9	FM	HILTON	NY	MARS HILL BROADCASTING CO. INC.	-77.74722	43.26644
W239CE	95.7	FM	SELINSGROVE	PA	NORTHEASTERN PENNSYLVANIA EDUCATIONAL TELEVISION ASSOCIATION	-76.89886	40.84175
K282BJ	104.3	FM	CARBONDALE	CO	PITKIN COUNTY TRANSLATOR DEPARTMENT	-107.37589	39.42303
WLDJ-LP	107.5	FM	NEW CASTLE	PA	MC2 INC	-80.35689	41.06008
WJYN-LP	98.5	FM	NORTH PHILADELPHIA	PA	UPTOWN ENTERTAINMENT AND DEVELOPMENT CORPORATION	-75.15625	39.98728
W288DW	105.5	FM	SOUTHFIELD	MI	WORD BROADCASTERS, INC.	-83.31217	42.48364
W251DA	98.1	FM	VEGA BAJA	PR	CAGUAS EDUCATIONAL TV, INC.	-66.29772	18.404
KYQT-LP	101.5	FM	PORTLAND	OR	TOOL SHED PDX	-122.86983	45.45756
KWLJ-LP	90.7	FM	MOORHEAD	MN	BIBLE TRUTH RADIO, INC.	-96.74592	46.85886
W296CQ	107.1	FM	HEMPSTEAD	NY	CENTRO CRISTIANO DE VIDA ETERNA	-73.58208	40.7165
W221EO	92.1	FM	YORK	SC	RICHBURG EDUCATIONAL BROADCASTERS, INC.	-81.25231	34.99708
