hex,count
8428049ffffffff,10
8428229ffffffff,20
8428369ffffffff,25
8429187ffffffff,13
8429abbffffffff,27
842919dffffffff,12
842826bffffffff,14
842830bffffffff,42
84291b3ffffffff,20
8428321ffffffff,34
84291c9ffffffff,3
842820dffffffff,12
842834dffffffff,47
8428043ffffffff,5
8428223ffffffff,12
8428363ffffffff,41
8429181ffffffff,12
8429197ffffffff,13
8428265ffffffff,23
8428305ffffffff,44
84291adffffffff,16
842831bffffffff,20
84291c3ffffffff,5
8428347ffffffff,62
842835dffffffff,39
8428255ffffffff,3
8428209ffffffff,6
842823bffffffff,5
8428215ffffffff,5
8428059ffffffff,4
8428207ffffffff,6
8428239ffffffff,5
8428335ffffffff,23
8428237ffffffff,5
8428243ffffffff,6
842821dffffffff,3
8428203ffffffff,5
8428235ffffffff,7
8428201ffffffff,8
8428233ffffffff,3
8428323ffffffff,34
842824bffffffff,4
8428231ffffffff,6
842820bffffffff,4
842823dffffffff,7
8428249ffffffff,5
8429061ffffffff,2
842906dffffffff,2
8429029ffffffff,3
8429067ffffffff,3
84486bbffffffff,1
8428251ffffffff,2
842800bffffffff,6
84282edffffffff,2
84282e9ffffffff,1
84282e5ffffffff,2
8428051ffffffff,3
84282e1ffffffff,1
8428219ffffffff,2
8428211ffffffff,2
8428257ffffffff,2
842805bffffffff,1
8428057ffffffff,5
84282e7ffffffff,1
8428217ffffffff,2
8428213ffffffff,1
842825dffffffff,2
8444b25ffffffff,1
8444b2dffffffff,1
84290b5ffffffff,2
8429063ffffffff,1
8429023ffffffff,2
842902bffffffff,1
84290adffffffff,2
84290e5ffffffff,1
84291d9ffffffff,1
84290a3ffffffff,1
84290abffffffff,1
84290a1ffffffff,2
8429adbffffffff,19
84290a9ffffffff,1
8429037ffffffff,1
84291e5ffffffff,9
8429035ffffffff,2
84290e7ffffffff,1
84291dbffffffff,2
8429033ffffffff,1
8428e03ffffffff,1
8428e23ffffffff,3
842808dffffffff,1
8428e43ffffffff,2
84280adffffffff,3
8428e63ffffffff,4
8428e05ffffffff,3
8428e25ffffffff,4
8428e45ffffffff,3
8428e65ffffffff,7
8428ee5ffffffff,1
842852dffffffff,1
842856dffffffff,1
8428e07ffffffff,2
8428e27ffffffff,5
8428e47ffffffff,3
8428e67ffffffff,6
84280b1ffffffff,1
8428c49ffffffff,4
8428191ffffffff,7
84281b1ffffffff,14
8428e09ffffffff,2
8428e29ffffffff,3
8428e49ffffffff,2
8428e69ffffffff,8
84280b3ffffffff,1
8428ee9ffffffff,1
8428c4bffffffff,2
8428193ffffffff,6
84281b3ffffffff,8
84281d3ffffffff,6
8428e0bffffffff,1
8428e2bffffffff,3
8428095ffffffff,1
8428e4bffffffff,2
8428e6bffffffff,3
84280b5ffffffff,1
8428c4dffffffff,6
8428195ffffffff,14
8428e0dffffffff,3
8428e2dffffffff,4
8428097ffffffff,1
8428e4dffffffff,2
8428e6dffffffff,8
84280b7ffffffff,1
8428eedffffffff,1
8428197ffffffff,8
84280b9ffffffff,1
8428199ffffffff,2
84281b9ffffffff,12
8428e11ffffffff,1
8428e31ffffffff,1
8428e51ffffffff,1
84280bbffffffff,1
842819bffffffff,2
84281bbffffffff,14
84281dbffffffff,7
8428e13ffffffff,1
8428e33ffffffff,1
842809dffffffff,1
8428e53ffffffff,1
84280bdffffffff,1
8428f53ffffffff,8
842819dffffffff,9
84281bdffffffff,17
8428e15ffffffff,1
8428e35ffffffff,3
8428e55ffffffff,1
8428e17ffffffff,1
8428081ffffffff,1
8428e37ffffffff,1
84280a1ffffffff,2
8428e57ffffffff,1
84280e1ffffffff,5
8428c59ffffffff,1
8428e19ffffffff,1
8428083ffffffff,1
8428e39ffffffff,1
8428e59ffffffff,1
84280a3ffffffff,2
84280e3ffffffff,1
8428521ffffffff,1
8428561ffffffff,1
8428e1bffffffff,1
8428e3bffffffff,1
8428085ffffffff,1
8428e5bffffffff,1
84280a5ffffffff,2
8428f1bffffffff,5
8428c5dffffffff,2
8428f5bffffffff,14
8428e1dffffffff,1
8428087ffffffff,1
8428e3dffffffff,3
