name,longitude,latitude,population
Strathfield,151.07986,-33.88096,25769
Springvale,145.15274,-37.94853,21572
South Yarra,144.99149,-37.83834,25237
Southport,153.39796,-27.96724,32965
Shepparton,145.39867,-36.38047,31148
Seven Hills,150.93333,-33.78333,19196
Seaford,145.13333,-38.1,16148
Saint Kilda,144.98099,-37.8676,20417
Saint Ives,151.15977,-33.72976,17036
Saint Albans,144.8,-37.73333,35091
Ryde,151.1062,-33.8188,26385
Rowville,145.23333,-37.93333,33160
Rockhampton,150.50595,-23.38032,61724
Rockdale,151.13333,-33.95,15436
Ringwood,145.23333,-37.81667,17242
Richmond,145.00176,-37.81819,27878
Reservoir,145,-37.71667,50092
Quakers Hill,150.88333,-33.73333,26904
Preston,145.01667,-37.75,32499
Port Melbourne,144.94228,-37.83961,15817
Port Macquarie,152.90894,-31.43084,45692
Point Cook,144.75088,-37.91482,49436
Pascoe Vale,144.93333,-37.73333,16850
Palm Beach,153.46584,-28.11694,15205
Pakenham,145.47411,-38.07018,45895
Orange,149.10018,-33.28397,38408
North Melbourne,144.94512,-37.79798,15395
Northcote,145,-37.76667,24115
Noble Park,145.16667,-37.96667,30921
Newcastle,151.7801,-32.92953,308308
Nerang,153.33633,-27.98941,16739
Narre Warren,145.3,-38.03333,26389
Narangba,152.95923,-27.20338,18217
Mulgrave,145.17708,-37.92845,17647
Mount Waverley,145.12939,-37.87709,33149
Mount Martha,145.01667,-38.26667,17788
Mount Gambier,140.77919,-37.8318,25030
Mount Eliza,145.08333,-38.18333,17358
Mount Druitt,150.81667,-33.76667,16682
Mosman,151.23956,-33.83902,27844
Mornington,145.03876,-38.21792,23245
Morayfield,152.94907,-27.10876,21221
South Morang,145.1,-37.65,23874
Mooroolbark,145.31682,-37.78247,21503
Mitcham,145.2,-37.81667,15861
Miranda,151.10005,-34.03857,15111
Mill Park,145.06667,-37.66667,29474
Mildura,142.16251,-34.18551,32936
Merrylands,150.98333,-33.83333,29508
Mernda,145.09555,-37.60075,16370
Melbourne,144.96332,-37.814,4246375
Mascot,151.19347,-33.92598,15985
Maryborough,152.70493,-25.54073,15479
Marrickville,151.15546,-33.90741,26140
Maroubra,151.23333,-33.95,30224
Manly,151.28826,-33.79798,16170
Maitland,151.5574,-32.73308,67132
Mackay,149.16554,-21.15345,74219
Liverpool,150.92588,-33.91938,27545
Lilydale,145.35,-37.75,16209
Lidcombe,151.0397,-33.86436,19791
Launceston,147.13467,-41.43876,106153
Lara,144.40617,-38.02388,15919
Langwarrin,145.16667,-38.16667,22146
Lalor,145.01667,-37.66667,22413
Lakemba,151.07592,-33.91972,16921
Kogarah,151.13564,-33.9681,15705
Keysborough,145.17385,-37.99116,25637
Kew,145.03086,-37.80639,24491
Kensington,151.22241,-33.92019,15021
Hornsby,151.09931,-33.70244,22335
