time1,time2,lon1,lat1,alt1,lon2,lat2,alt2
473,1619,120.3584,22.5768,0,119.8487,23.5293,1554
476,2210,-97.8658,30.7201,1219,-98.6946,29.7236,495
477,2249,-123.4484,48.1379,610,-122.3179,47.459,46
482,2246,107.1997,17.3511,10668,105.474,20.7295,5159
485,3840,-96.3519,30.5346,305,-98.998,29.9911,1036
487,2999,-123.2291,40.1933,3353,-121.6014,38.6889,-46
487,2745,-98.499,33.8551,2134,-99.3138,33.3945,3741
489,1335,145.0957,-37.9644,0,144.4965,-38.0626,610
490,5759,-80.9506,35.1913,305,-76.0508,43.1106,297
490,2997,-98.2341,40.8618,2134,-95.9344,41.3315,549
492,7799,-80.2426,25.7961,305,-65.2338,18.768,10668
496,3541,145.097,-37.9722,-305,145.0985,-37.9892,-84
500,1409,-117.2538,33.4935,914,-117.2248,33.3411,640
501,12019,-97.0507,32.9209,305,-121.9193,37.3531,-23
502,2233,-122.3078,47.4507,0,-122.6396,45.6022,23
502,12956,-118.414,33.9341,0,-84.7471,39.0466,495
503,7037,153.0075,-27.5733,-305,152.9954,-27.5699,-61
503,1223,-81.8282,41.019,914,-81.9171,40.6613,1250
504,3293,121.5883,25.0592,305,119.0309,23.9952,2477
505,4673,-121.5804,38.6907,-305,-112.0113,40.5762,2179
505,23390,51.6207,25.2693,0,100.7657,13.7893,564
505,3823,-118.4183,33.9485,0,-122.2194,37.7049,-91
506,4993,-122.5518,45.578,0,-112.0175,40.588,2393
506,3675,118.7125,25.1715,9144,113.4731,22.1942,1120
510,2228,112.6001,23.6952,9754,110.9528,20.7374,6614
515,1366,-78.0889,39.0017,914,-77.8691,38.5116,160
516,6238,-96.8668,32.6786,305,-96.8668,32.6859,297
517,2780,150.9717,-33.9057,0,151.003,-33.9316,-91
524,5116,-84.4212,33.6346,305,-80.1762,40.4999,594
525,1426,-62.0469,10.5591,8534,-63.8536,11.0037,10348
529,4229,-95.9914,30.751,2438,-98.8373,32.9744,3299
530,5999,-95.231,30.0917,1219,-82.8549,32.5207,7513
533,33609,-79.6098,43.6752,0,28.7292,41.1887,541
534,7924,-97.0296,32.9193,305,-82.5404,28.0193,137
538,1167,-149.9639,61.1854,0,-149.7798,61.0367,213
538,3128,-122.2783,38.2096,0,-122.27,38.2111,-30
540,4065,119.344,25.7146,9144,113.7605,22.699,335
544,2951,-75.2771,40.1308,0,-75.2495,40.1442,183
544,7649,-104.6989,39.8841,1829,-117.1664,32.728,99
544,2892,105.0799,27.6228,7315,106.6902,29.8483,1120
547,3539,0.2506,51.8955,0,-6.1341,54.6794,274
549,4117,-118.1476,33.8148,0,-122.2192,37.7048,-84
549,7103,-90.3548,38.742,305,-82.5834,28.2742,1364
552,4639,145.0963,-37.9673,-305,145.8578,-38.4331,488
552,5082,-76.6972,39.1752,0,-86.3322,39.6974,312
554,2038,113.8266,22.6094,305,112.1695,21.8785,9426
556,26534,133.4808,50.0431,10058,37.283,55.9516,488
558,6138,-96.8364,32.9683,305,-96.8408,32.9785,320
558,6459,-117.8618,33.6866,305,-104.6425,39.7711,2057
