hex,home_lng,home_lat,count
8a28309753affff,-122.49370,37.65468,27
8a28308a836ffff,-122.26006,37.86723,30
8a2830829ab7fff,-122.45072,37.77991,32
8a28308a830ffff,-122.26981,37.86877,35
8a28308a9ccffff,-122.26981,37.86877,32
8a2830952437fff,-122.40544,37.73025,34
8a283082a28ffff,-122.39480,37.79709,45
8a283082bc37fff,-122.41024,37.78901,66
8a28308a835ffff,-122.25690,37.86703,68
8a283082aa17fff,-122.40505,37.78868,26
8a28308a8767fff,-122.25462,37.87377,37
8a283092bac7fff,-122.39555,37.65126,28
8a283097149ffff,-122.46465,37.64856,32
8a28308a8307fff,-122.25285,37.86780,60
8a283098bd2ffff,-122.21797,37.77723,31
8a2830972b2ffff,-122.47631,37.67876,55
8a28308597b7fff,-122.47956,37.91196,43
8a28308c3c97fff,-122.32974,37.96624,29
8a283082b9a7fff,-122.41964,37.78541,56
8a283095589ffff,-122.43121,37.70139,39
8a28342dd757fff,-122.48465,37.57403,171
8a28308597b7fff,-122.51835,37.94928,31
8a2830988797fff,-122.19926,37.76784,29
8a28309aa917fff,-121.94116,37.79902,27
8a283098d3affff,-122.24968,37.76754,40
8a2830971c37fff,-122.47615,37.64911,30
8a283095019ffff,-122.43401,37.71693,28
8a28308c425ffff,-122.36525,37.93410,26
8a2830828767fff,-122.21575,37.82630,46
8a283082951ffff,-122.43104,37.78092,82
8a283084234ffff,-122.51286,37.86799,63
8a28308a8307fff,-122.25920,37.86223,66
8a28308ac8a7fff,-122.23725,37.83488,36
8a2830950617fff,-122.42772,37.72127,29
8a28308a0347fff,-122.20556,37.82941,81
8a2830928c5ffff,-122.40426,37.61540,37
8a28308a8747fff,-122.25038,37.86713,27
8a283082b987fff,-122.41964,37.78541,44
8a28309584dffff,-122.48080,37.76246,27
8a28308a8227fff,-122.26006,37.86723,239
8a28308a8aa7fff,-122.25613,37.86444,26
8a28308a8277fff,-122.25285,37.86780,73
8a283095a65ffff,-122.46575,37.77909,31
8a28308a8357fff,-122.24794,37.86365,35
8a2830952aeffff,-122.42637,37.72932,37
8a283092bae7fff,-122.39555,37.65126,50
8a28308a9cf7fff,-122.26338,37.86634,32
8a283097381ffff,-122.48282,37.68128,65
8a2830928297fff,-122.40873,37.62174,51
8a283097656ffff,-122.39555,37.65126,80
8a283082828ffff,-122.42249,37.78233,28
8a28308a8327fff,-122.25690,37.86703,179
8a28308252cffff,-122.39777,37.72541,31
8a2830ba4497fff,-122.54136,37.93644,117
8a283095a6d7fff,-122.46254,37.77923,255
8a283092a897fff,-122.22945,37.48973,31
8a28308f0c67fff,-122.29755,37.90116,42
8a283095240ffff,-122.40939,37.73343,43
8a2830988797fff,-122.20528,37.77483,32
8a2830970797fff,-122.39555,37.65126,37
8a28308a806ffff,-122.26006,37.86723,37
8a2830971c07fff,-122.49651,37.68232,61
8a28308a8307fff,-122.25038,37.86713,27
8a28309aa917fff,-121.95366,38.01010,27
8a283082bd2ffff,-122.41398,37.78662,90
8a283092eb57fff,-122.42101,37.60263,57
8a2830970797fff,-122.46345,37.65882,32
8a28308ab967fff,-122.26006,37.86723,67
8a283092eb1ffff,-122.39204,37.60255,31
8a283099d16ffff,-122.17317,37.77269,47
8a283095c027fff,-122.48971,37.73193,109
8a283097381ffff,-122.45832,37.70598,30
8a283082a9b7fff,-122.38929,37.77321,30
8a283092eb0ffff,-122.40954,37.60483,93
8a2830946597fff,-122.47491,37.69607,27
8a2830874967fff,-122.48155,37.78177,30
8a28308c28d7fff,-122.35161,37.96205,28
8a2830951acffff,-122.48082,37.71830,41
8a2830951acffff,-122.47652,37.71544,99
8a283082bc6ffff,-122.41851,37.79067,54
8a283082e04ffff,-122.38929,37.77321,55
8a2830959787fff,-122.50746,37.77911,27
8a28308f1c8ffff,-122.31679,37.90644,26
8a28309ab637fff,-122.24442,37.74619,36
8a28308f0d4ffff,-122.29848,37.89707,27
8a2830972b2ffff,-122.46534,37.70664,32
8a283082b687fff,-122.41016,37.80509,79
8a2830988797fff,-122.21156,37.77263,37
8a283097039ffff,-122.46909,37.66950,88
8a283082aa97fff,-122.41353,37.78859,30
8a283092e28ffff,-121.83508,37.73040,28
8a283095544ffff,-122.45832,37.70598,34
8a283082a307fff,-122.39765,37.78958,27
8a2830828467fff,-122.40672,37.77762,44
8a28308a9c37fff,-122.26786,37.86574,45
8a2830bb56affff,-122.49599,37.96350,26
8a2830951b5ffff,-122.48082,37.71830,30
8a283095589ffff,-122.46894,37.70335,27
8a28309466f7fff,-122.47906,37.70568,64
8a28308a8357fff,-122.26728,37.87568,29
8a283092eb17fff,-122.39204,37.60255,37
8a283092e2affff,-122.48291,37.69835,27
8a283085d0effff,-122.52173,37.90944,70
8a2830971c07fff,-122.47615,37.64911,56
8a283095c027fff,-122.49572,37.73151,31
8a2830971c07fff,-122.49370,37.65468,30
8a283095c027fff,-122.47652,37.71544,35
8a283092e8b7fff,-122.34713,37.59089,32
8a2830972b2ffff,-122.46572,37.68530,27
8a283092eb0ffff,-122.40871,37.61412,36
8a2830828797fff,-122.40985,37.78011,58
8a28308a8277fff,-122.26728,37.87568,27
8a283082a0effff,-122.37275,37.80497,58
8a2830974287fff,-122.45958,37.64809,26
8a28308a82d7fff,-122.25285,37.86780,58
8a28308a839ffff,-122.25038,37.86713,28
8a283097149ffff,-122.46349,37.69126,28
8a28309702cffff,-122.46909,37.66950,30
8a283095589ffff,-122.46857,37.69025,40
8a28308a8347fff,-122.24794,37.86365,45
8a28308a9ca7fff,-122.26981,37.86877,47
8a28308a8247fff,-122.25613,37.86444,89
8a283097381ffff,-122.48811,37.67809,43
8a28308ab92ffff,-122.26006,37.86723,51
8a2830975227fff,-122.48670,37.64807,35
8a28308a8327fff,-122.26338,37.86634,61
8a28308280d7fff,-122.41596,37.77531,52
8a283081568ffff,-122.28895,37.81001,52
8a28308a828ffff,-122.25462,37.87377,46
8a283092baeffff,-122.39555,37.65126,85
8a283090952ffff,-122.40455,37.68131,26
8a283092bb07fff,-122.42574,37.63317,64
8a283097381ffff,-122.45597,37.64585,74
8a2830828c37fff,-122.37618,37.73104,49
8a28308c2097fff,-122.29643,37.94403,56
8a283097381ffff,-122.49651,37.68232,49
8a28308a830ffff,-122.26181,37.86379,61
8a283082b9affff,-122.41964,37.78541,34
8a2830972b2ffff,-122.44705,37.70968,26
8a283092390ffff,-122.34713,37.59089,36
8a28309466affff,-122.47966,37.72626,54
8a28308a8357fff,-122.25667,37.87727,32
8a283080ca5ffff,-122.41103,37.80909,169
8a283092bab7fff,-122.43135,37.65734,26
8a2830821a5ffff,-122.38380,37.72639,26
8a28308a8317fff,-122.25690,37.86703,514
8a283097381ffff,-122.44365,37.70473,28
8a283095589ffff,-122.45509,37.69692,58
8a28342db827fff,-122.48295,37.60741,26
8a283095a72ffff,-122.46575,37.77909,43
8a283082bd5ffff,-122.41381,37.78999,31
8a283092ea47fff,-122.40066,37.60222,26
8a28309466affff,-122.47906,37.70568,159
8a28308a831ffff,-122.25690,37.86703,403
8a283097381ffff,-122.46857,37.69025,32
8a283082b517fff,-122.40652,37.79513,34
8a28308a8307fff,-122.26006,37.86723,166
8a283082809ffff,-122.41596,37.77531,43
8a283080c937fff,-122.39480,37.79709,27
8a283082bd1ffff,-122.41115,37.78722,36
8a28309466affff,-122.45198,37.70497,36
8a2830972b2ffff,-122.48811,37.67809,53
8a28308a8227fff,-122.26786,37.86574,93
8a283092eb57fff,-122.39204,37.60255,51
8a28309466f7fff,-122.47491,37.69607,30
8a28308ab907fff,-122.25690,37.86703,67
8a283082bd0ffff,-122.41353,37.78859,47
8a28309466affff,-122.48291,37.69835,341
8a28308a91b7fff,-122.27091,37.87315,42
8a28308c3c97fff,-122.35782,37.99179,63
8a28308a832ffff,-122.25285,37.86780,29
8a2830970797fff,-122.46554,37.63441,32
8a283095cd97fff,-122.43121,37.70139,29
8a2830920407fff,-122.35060,37.57937,37
8a28309466c7fff,-122.47604,37.70231,30
8a283082aa17fff,-122.43097,37.72501,26
8a28308594effff,-122.51988,37.93154,43
8a283085d0effff,-122.53052,37.88762,37
8a2830970797fff,-122.46652,37.65491,30
8a28308a8247fff,-122.25667,37.87727,34
8a28308a9cdffff,-122.26981,37.86877,50
8a2830975227fff,-122.49370,37.65468,77
8a28308a830ffff,-122.25690,37.86703,340
8a2830828c37fff,-122.38929,37.77321,86
8a283082aa17fff,-122.39632,37.78605,40
8a283082aa17fff,-122.41285,37.77774,64
8a28308a82e7fff,-122.25462,37.87377,58
8a283082e747fff,-122.38929,37.77321,55
8a283092eb1ffff,-122.40426,37.61540,29
8a283082c64ffff,-122.41894,37.76073,28
